ba	0.43
be	0.40
bi	0.39
bo	0.40
bu	0.45
da	0.43
de	0.40
di	0.40
do	0.40
du	0.35
ga	0.42
ge	0.43
gi	0.43
go	0.43
gu	0.35
ha	0.50
he	0.37
hi	0.37
ho	0.37
hu	0.37
ka	0.35
ke	0.35
ki	0.35
ko	0.35
ku	0.35
la	0.50
le	0.45
li	0.45
lo	0.40
lu	0.36
ma	0.50
me	0.45
mi	0.45
mo	0.40
mu	0.36
na	0.45
ne	0.50
nga	0.40
nge	0.40
ngi	0.40
ngo	0.40
ngu	0.40
ni	0.50
no	0.45
nu	0.40
pa	0.35
pe	0.35
pi	0.35
po	0.35
pu	0.35
sa	0.58
se	0.60
si	0.51
so	0.50
su	0.50
ta	0.30
te	0.30
ti	0.30
to	0.30
tu	0.30
wa	0.35
we	0.35
wi	0.35
wo	0.40
wu	0.35
ya	0.35
ye	0.40
yi	0.35
yo	0.35
yu	0.35
a	0.45
b	0.30
d	0.35
e	0.42
g	0.31
h	0.29
i	0.35
k	0.30
l	0.31
m	0.35
n	0.36
ng	0.31
o	0.35
p	0.30
s	0.31
t	0.30
u	0.35
w	0.30
y	0.33
ab	0.33
ad	0.30
ag	0.30
ah	0.40
ak	0.18
al	0.45
am	0.45
an	0.47
ang	0.45
ap	0.18
as	0.60
at	0.31
aw	0.45
ay	0.40
eb	0.33
ed	0.30
eg	0.30
eh	0.40
ek	0.18
el	0.42
em	0.45
en	0.50
eng	0.45
ep	0.15
es	0.58
et	0.25
ew	0.41
ey	0.35
ib	0.33
id	0.30
ig	0.30
ih	0.35
ik	0.15
il	0.43
im	0.45
in	0.50
ing	0.50
ip	0.15
is	0.55
it	0.23
iw	0.41
iy	0.40
ob	0.33
od	0.30
og	0.30
oh	0.43
ok	0.16
ol	0.37
om	0.45
on	0.50
ong	0.45
op	0.17
os	0.50
ot	0.26
ow	0.40
oy	0.35
ub	0.33
ud	0.30
ug	0.30
uh	0.46
uk	0.11
ul	0.45
um	0.45
un	0.46
ung	0.45
up	0.15
us	0.55
ut	0.20
uw	0.40
uy	0.35
